bedrooms,bathrooms,land_size_p,floor_area_sqft,storeys,district_enc,district_tier,colombo_premium,property_type_enc,negotiable,has_parking,has_pool,has_garden,has_furnished,has_ac,has_security,has_water,has_highway,has_generator,has_solar,log_price,price_lkr
4.0,4.0,10.0,3500.0,2.0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,17.822843761378564,55000000.0
4.0,3.0,10.0,2800.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.312018149733785,33000000.0
4.0,3.0,6.4,3000.0,2.0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,18.042344317830995,68500000.0
3.0,2.0,12.0,3600.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.296750678069195,32500000.0
5.0,4.0,5.0,4000.0,3.0,12,3,0,0,1,1,0,1,0,1,1,0,0,0,0,17.439851517607305,37500000.0
4.0,5.0,21.0,3700.0,3.0,3,1,1,0,1,1,1,1,0,1,1,0,0,0,0,18.560442695023177,115000000.0
4.0,3.0,12.4,2500.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,17.840862266556567,56000000.0
5.0,4.0,21.5,4850.0,2.0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,17.439851517607305,37500000.0
5.0,4.0,11.6,3250.0,2.0,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,17.989897843244528,65000000.0
4.0,2.0,16.3,3200.0,2.0,3,1,0,0,1,1,0,1,0,0,0,1,0,0,0,17.147715103853763,28000000.0
5.0,5.0,18.0,4000.0,2.0,8,2,0,0,1,0,0,0,1,0,1,0,0,0,0,17.622173069956816,45000000.0
5.0,4.0,10.5,2400.0,2.0,12,3,0,0,1,1,0,1,0,0,0,0,0,0,0,17.6867115897055,48000000.0
3.0,2.0,11.0,1400.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,16.759949589762293,19000000.0
4.0,5.0,21.0,3700.0,3.0,3,1,1,0,1,1,1,1,1,1,1,0,0,0,0,18.560442695023177,115000000.0
5.0,3.0,20.0,4000.0,2.0,3,1,1,0,1,1,0,1,0,1,0,0,0,0,0,19.450300164704952,280000000.0
4.0,2.0,10.0,2200.0,2.0,7,2,0,0,1,1,0,1,0,0,0,0,0,0,0,16.705882371415992,18000000.0
3.0,3.0,9.6,2900.0,2.0,12,3,0,0,1,0,0,1,0,1,0,0,1,0,1,17.9426449591384,62000000.0
4.0,3.0,8.0,3500.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,18.17221939747438,78000000.0
5.0,5.0,18.2,6000.0,2.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,18.72078534381011,135000000.0
4.0,3.0,12.25,4000.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,18.197537205138154,80000000.0
4.0,3.0,20.0,2579.0,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.989897843244528,65000000.0
4.0,2.0,13.0,1800.0,2.0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.370858648025116,35000000.0
4.0,4.0,40.0,7000.0,2.0,3,1,1,0,1,1,1,1,0,1,1,0,0,1,1,19.644456178515657,340000000.0
1.0,1.0,12.5,1000.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,15.747032114495013,6900000.0
3.0,2.0,6.88,1800.0,1.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.993564429978885,24000000.0
4.0,3.0,7.0,3200.0,2.0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,18.05683732492351,69500000.0
3.0,2.0,12.5,3500.0,2.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17.296750678069195,32500000.0
6.0,3.0,7.0,3000.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.370858648025116,35000000.0
4.0,4.0,7.5,3500.0,2.0,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,18.36938746009113,95000000.0
3.0,2.0,6.0,2000.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17.341871111992198,34000000.0
5.0,5.0,15.0,4500.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,18.287149362756413,87500000.0
3.0,2.0,6.0,1000.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,16.52356082573315,15000000.0
5.0,5.0,10.6,5100.0,2.0,5,2,0,0,1,1,0,0,0,1,1,0,1,0,0,18.33729914588288,92000000.0
4.0,3.0,7.5,3200.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.385043282614657,35500000.0
3.0,2.0,11.27,3300.0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17.50439003707821,40000000.0
3.0,2.0,7.5,1633.5,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17.249497794707484,31000000.0
5.0,4.0,10.0,3458.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17.822843761378564,55000000.0
3.0,2.0,8.75,1553.0,2.0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,17.19990085520835,29500000.0
5.0,3.0,58.0,3000.0,2.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,16.677711496036597,17500000.0
3.0,2.0,4.4,1190.0,1.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.034386422832473,25000000.0
2.0,1.0,6.9,915.0,1.0,3,1,0,0,1,1,0,1,1,1,1,0,1,0,0,16.61887099947687,16500000.0
4.0,2.0,88.70000000000005,3100.0,2.0,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,17.1654146803266,28500000.0
4.0,3.0,10.0,2818.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.747336210296442,51000000.0
3.0,2.0,10.0,2000.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17.034386422832473,25000000.0
5.0,5.0,23.39,5600.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18.8906843794481,160000000.0
3.0,2.0,6.0,1700.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17.356469910987094,34500000.0
4.0,2.0,88.70000000000005,1273.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.439851517607305,37500000.0
5.0,3.0,9.0,2000.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19.413932520666354,270000000.0
3.0,1.0,15.0,1200.0,2.0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,15.830413711839864,7500000.0
5.0,3.0,10.0,2288.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,1,0,0,18.049617077054286,69000000.0
